@relation 'plant_disease-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D/home/kawser/Desktop/Summer 2019/Machine learning/rice_leaf_diseases(1)/plant_disease3-weka.filters.unsupervised.attribute.StringToNominal-R1-weka.filters.unsupervised.instance.Resample-S1-Z90.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1,3-6,8-22,24-25,27-28,30-34'

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute class {BACTERIAL_LEAF_BLIGHT,BROWN_SPOT,LEAF_SMUT}

@data
51,15,13,28,38,BACTERIAL_LEAF_BLIGHT
57,16,20,26,34,BROWN_SPOT
52,18,14,26,36,LEAF_SMUT
46,14,9,26,35,BROWN_SPOT
53,16,17,26,36,BACTERIAL_LEAF_BLIGHT
49,16,16,25,34,BACTERIAL_LEAF_BLIGHT
41,14,8,20,33,LEAF_SMUT
53,16,14,27,36,BROWN_SPOT
49,16,11,28,36,BACTERIAL_LEAF_BLIGHT
50,15,14,28,36,BACTERIAL_LEAF_BLIGHT
45,16,12,27,34,BACTERIAL_LEAF_BLIGHT
35,16,5,13,37,BROWN_SPOT
50,15,12,28,37,BACTERIAL_LEAF_BLIGHT
51,15,17,25,36,BACTERIAL_LEAF_BLIGHT
48,16,13,26,27,LEAF_SMUT
37,16,2,14,44,BROWN_SPOT
53,16,19,24,36,LEAF_SMUT
54,16,18,25,36,LEAF_SMUT
49,16,16,25,34,BACTERIAL_LEAF_BLIGHT
20,15,11,25,13,LEAF_SMUT
51,15,14,26,36,BACTERIAL_LEAF_BLIGHT
52,16,14,26,35,BROWN_SPOT
49,15,15,25,35,BACTERIAL_LEAF_BLIGHT
52,15,16,26,37,BACTERIAL_LEAF_BLIGHT
57,16,20,26,34,BROWN_SPOT
43,16,9,28,34,BROWN_SPOT
55,16,20,24,37,LEAF_SMUT
52,15,12,28,37,BROWN_SPOT
55,15,7,7,38,BROWN_SPOT
50,16,14,26,38,BACTERIAL_LEAF_BLIGHT
53,17,17,25,36,LEAF_SMUT
49,14,11,27,35,BACTERIAL_LEAF_BLIGHT
49,14,11,28,35,BACTERIAL_LEAF_BLIGHT
34,14,0,13,39,BROWN_SPOT
49,16,16,25,34,BACTERIAL_LEAF_BLIGHT
49,16,16,25,34,BACTERIAL_LEAF_BLIGHT
15,15,13,25,21,LEAF_SMUT
49,15,11,28,36,BROWN_SPOT
51,14,3,26,26,BROWN_SPOT
53,17,13,28,30,LEAF_SMUT
55,17,17,26,36,BROWN_SPOT
54,16,19,25,36,LEAF_SMUT
49,14,12,28,35,BACTERIAL_LEAF_BLIGHT
49,16,11,26,36,BROWN_SPOT
51,16,17,23,36,LEAF_SMUT
53,16,17,26,36,BACTERIAL_LEAF_BLIGHT
54,16,20,23,36,LEAF_SMUT
49,15,15,25,35,BACTERIAL_LEAF_BLIGHT
42,13,8,16,33,LEAF_SMUT
53,17,22,22,35,BROWN_SPOT
44,17,10,24,37,BROWN_SPOT
57,16,20,26,34,BROWN_SPOT
52,15,16,26,36,BACTERIAL_LEAF_BLIGHT
50,16,12,27,34,BROWN_SPOT
38,15,2,12,44,BROWN_SPOT
49,16,15,26,36,BACTERIAL_LEAF_BLIGHT
52,16,17,24,35,BROWN_SPOT
57,16,22,24,34,LEAF_SMUT
44,15,12,16,35,BROWN_SPOT
34,14,0,17,39,BROWN_SPOT
52,17,17,25,36,LEAF_SMUT
51,16,12,28,36,BROWN_SPOT
57,16,20,26,34,BROWN_SPOT
38,16,14,27,25,LEAF_SMUT
45,16,12,27,34,BACTERIAL_LEAF_BLIGHT
51,15,14,26,36,BACTERIAL_LEAF_BLIGHT
55,15,20,24,29,BACTERIAL_LEAF_BLIGHT
55,16,19,24,38,BACTERIAL_LEAF_BLIGHT
54,16,12,28,39,BROWN_SPOT
57,15,25,24,32,BACTERIAL_LEAF_BLIGHT
52,15,12,28,37,BROWN_SPOT
50,16,12,27,34,BROWN_SPOT
50,14,14,28,36,BACTERIAL_LEAF_BLIGHT
50,15,12,28,37,BACTERIAL_LEAF_BLIGHT
49,15,14,26,35,BACTERIAL_LEAF_BLIGHT
52,16,15,26,35,BROWN_SPOT
51,14,3,26,26,BROWN_SPOT
53,16,15,26,37,BACTERIAL_LEAF_BLIGHT
38,15,2,10,44,BROWN_SPOT
38,16,14,27,25,LEAF_SMUT
35,16,5,13,37,BROWN_SPOT
54,15,12,18,33,BROWN_SPOT
57,16,22,24,34,LEAF_SMUT
49,18,17,24,36,LEAF_SMUT
41,15,5,17,37,LEAF_SMUT
53,16,14,27,36,BROWN_SPOT
51,15,14,27,36,BACTERIAL_LEAF_BLIGHT
52,17,19,24,37,BACTERIAL_LEAF_BLIGHT
43,15,10,27,37,BROWN_SPOT
54,16,21,22,37,LEAF_SMUT
31,17,9,21,28,LEAF_SMUT
51,16,17,23,36,LEAF_SMUT
55,16,20,24,37,LEAF_SMUT
53,17,20,24,36,LEAF_SMUT
51,15,10,27,38,BROWN_SPOT
52,15,16,26,36,BACTERIAL_LEAF_BLIGHT
52,15,17,25,36,BACTERIAL_LEAF_BLIGHT
49,16,11,26,36,BROWN_SPOT
49,16,11,28,36,BACTERIAL_LEAF_BLIGHT
51,15,14,27,35,BACTERIAL_LEAF_BLIGHT
55,17,14,27,36,BROWN_SPOT
42,15,10,27,38,BROWN_SPOT
50,14,6,24,39,BROWN_SPOT
47,15,7,21,38,LEAF_SMUT
43,16,9,28,35,BROWN_SPOT
15,15,13,25,21,LEAF_SMUT
52,16,12,27,38,BROWN_SPOT
51,15,16,26,37,BACTERIAL_LEAF_BLIGHT
50,14,13,26,37,BACTERIAL_LEAF_BLIGHT
40,15,10,28,25,LEAF_SMUT
31,17,9,18,28,LEAF_SMUT
55,17,17,26,36,BROWN_SPOT
54,18,17,25,36,LEAF_SMUT
52,15,16,26,36,BACTERIAL_LEAF_BLIGHT
54,16,7,13,38,BROWN_SPOT
54,18,19,24,35,LEAF_SMUT
51,14,16,26,37,BACTERIAL_LEAF_BLIGHT
53,17,15,26,35,BROWN_SPOT
45,16,12,27,34,BACTERIAL_LEAF_BLIGHT
40,15,10,28,25,LEAF_SMUT
59,16,24,24,31,LEAF_SMUT
44,15,12,15,35,BROWN_SPOT
53,16,16,26,37,BACTERIAL_LEAF_BLIGHT
57,17,16,27,30,BROWN_SPOT
49,16,15,26,36,BACTERIAL_LEAF_BLIGHT
52,16,12,27,38,BROWN_SPOT
51,15,14,27,35,BACTERIAL_LEAF_BLIGHT
49,16,11,28,36,BACTERIAL_LEAF_BLIGHT
37,17,14,25,26,LEAF_SMUT
17,17,15,19,29,LEAF_SMUT
52,15,15,24,36,BROWN_SPOT
54,15,12,12,33,BROWN_SPOT
32,19,15,23,33,LEAF_SMUT
49,18,17,24,36,LEAF_SMUT
53,17,16,25,36,BROWN_SPOT
50,16,13,27,36,BACTERIAL_LEAF_BLIGHT
53,18,17,25,36,LEAF_SMUT
54,15,7,7,38,BROWN_SPOT
52,16,14,26,35,BROWN_SPOT
50,14,13,26,37,BACTERIAL_LEAF_BLIGHT
49,16,15,24,37,LEAF_SMUT
49,16,15,24,37,LEAF_SMUT
49,15,14,26,35,BACTERIAL_LEAF_BLIGHT
49,15,15,25,35,BACTERIAL_LEAF_BLIGHT
51,15,10,27,38,BROWN_SPOT
52,16,17,24,35,BROWN_SPOT
49,15,11,28,36,BROWN_SPOT
52,17,18,24,35,LEAF_SMUT
52,16,18,24,37,BACTERIAL_LEAF_BLIGHT
20,15,11,25,20,LEAF_SMUT
53,15,15,25,37,BACTERIAL_LEAF_BLIGHT
49,16,11,27,37,BROWN_SPOT
54,16,21,22,37,LEAF_SMUT
48,16,13,26,27,LEAF_SMUT
49,16,11,26,36,BROWN_SPOT
51,15,13,28,38,BACTERIAL_LEAF_BLIGHT
52,15,12,28,37,BROWN_SPOT
57,15,25,24,32,BACTERIAL_LEAF_BLIGHT
48,16,13,27,27,LEAF_SMUT
47,15,14,27,35,BACTERIAL_LEAF_BLIGHT
56,16,21,24,34,LEAF_SMUT
38,15,2,12,44,BROWN_SPOT
57,15,25,24,32,BACTERIAL_LEAF_BLIGHT
49,16,11,28,36,BACTERIAL_LEAF_BLIGHT
55,18,21,23,36,LEAF_SMUT
50,15,4,26,40,BROWN_SPOT
53,17,17,25,36,LEAF_SMUT
51,15,12,27,40,BACTERIAL_LEAF_BLIGHT
52,15,17,25,37,BACTERIAL_LEAF_BLIGHT
48,15,15,26,36,BACTERIAL_LEAF_BLIGHT
55,18,21,23,36,LEAF_SMUT
53,16,16,26,37,BACTERIAL_LEAF_BLIGHT
54,15,20,24,36,BACTERIAL_LEAF_BLIGHT
50,15,4,28,40,BROWN_SPOT
54,16,12,28,39,BROWN_SPOT
50,16,11,28,36,BROWN_SPOT
49,16,11,27,37,BROWN_SPOT
55,15,20,24,29,BACTERIAL_LEAF_BLIGHT
23,15,7,15,29,LEAF_SMUT
51,16,12,28,36,BROWN_SPOT
54,16,21,22,36,LEAF_SMUT
55,18,21,23,36,LEAF_SMUT
53,17,22,22,35,BROWN_SPOT
49,13,5,28,41,BROWN_SPOT
55,15,22,22,38,LEAF_SMUT
54,16,18,24,37,LEAF_SMUT
52,15,18,24,36,BACTERIAL_LEAF_BLIGHT
52,15,17,25,36,BACTERIAL_LEAF_BLIGHT
53,16,17,26,36,BACTERIAL_LEAF_BLIGHT
54,16,18,25,36,LEAF_SMUT
51,16,15,25,35,LEAF_SMUT
42,15,10,27,38,BROWN_SPOT
58,16,28,20,31,BACTERIAL_LEAF_BLIGHT
54,16,12,28,39,BROWN_SPOT
51,16,15,25,35,LEAF_SMUT
48,17,12,27,38,BACTERIAL_LEAF_BLIGHT
50,16,13,27,36,BACTERIAL_LEAF_BLIGHT
51,16,12,28,36,BROWN_SPOT
48,15,2,23,40,BROWN_SPOT
50,14,13,26,37,BACTERIAL_LEAF_BLIGHT
56,15,6,22,27,BROWN_SPOT
55,17,14,27,36,BROWN_SPOT
38,15,2,10,44,BROWN_SPOT
47,15,14,27,35,BACTERIAL_LEAF_BLIGHT
48,15,15,26,36,BACTERIAL_LEAF_BLIGHT
49,15,11,28,36,BROWN_SPOT
51,15,17,25,36,BACTERIAL_LEAF_BLIGHT
50,16,14,26,38,BACTERIAL_LEAF_BLIGHT
50,15,14,28,36,BACTERIAL_LEAF_BLIGHT
41,15,5,17,37,LEAF_SMUT
46,14,9,26,35,BROWN_SPOT
53,17,16,25,36,BROWN_SPOT
53,15,17,25,37,BACTERIAL_LEAF_BLIGHT
57,16,22,24,34,LEAF_SMUT
54,16,21,22,37,LEAF_SMUT
55,16,19,24,38,BACTERIAL_LEAF_BLIGHT
55,15,20,24,29,BACTERIAL_LEAF_BLIGHT
51,16,17,23,36,LEAF_SMUT
49,16,15,26,36,BACTERIAL_LEAF_BLIGHT
53,18,18,24,36,LEAF_SMUT
51,20,19,24,37,BACTERIAL_LEAF_BLIGHT
44,17,10,24,37,BROWN_SPOT
49,15,11,28,36,BROWN_SPOT
52,15,15,24,36,BROWN_SPOT
53,15,17,25,37,BACTERIAL_LEAF_BLIGHT
52,15,15,27,36,BACTERIAL_LEAF_BLIGHT
51,16,15,25,35,LEAF_SMUT
52,16,18,24,37,BACTERIAL_LEAF_BLIGHT
23,15,7,15,29,LEAF_SMUT
37,16,2,13,43,BROWN_SPOT
46,15,12,27,36,BACTERIAL_LEAF_BLIGHT
59,16,24,24,31,LEAF_SMUT
52,16,17,24,35,BROWN_SPOT
51,15,16,26,37,BACTERIAL_LEAF_BLIGHT
55,15,20,21,39,BROWN_SPOT
52,16,17,25,37,LEAF_SMUT
53,16,19,24,36,LEAF_SMUT
49,16,15,24,37,LEAF_SMUT
52,15,18,24,36,BACTERIAL_LEAF_BLIGHT
53,17,15,26,35,BROWN_SPOT
51,20,19,24,37,BACTERIAL_LEAF_BLIGHT
54,18,19,24,35,LEAF_SMUT
53,17,13,29,30,LEAF_SMUT
43,15,10,27,38,BROWN_SPOT
51,15,16,26,37,BACTERIAL_LEAF_BLIGHT
53,15,15,25,37,BACTERIAL_LEAF_BLIGHT
55,17,14,27,36,BROWN_SPOT
38,16,14,27,25,LEAF_SMUT
52,15,18,24,36,BACTERIAL_LEAF_BLIGHT
32,19,15,23,33,LEAF_SMUT
54,16,19,25,36,LEAF_SMUT
51,15,13,28,38,BACTERIAL_LEAF_BLIGHT
48,15,15,26,36,BACTERIAL_LEAF_BLIGHT
58,16,28,20,31,BACTERIAL_LEAF_BLIGHT
56,15,6,21,27,BROWN_SPOT
52,16,18,24,37,BACTERIAL_LEAF_BLIGHT
57,16,22,24,34,LEAF_SMUT
53,17,13,28,30,LEAF_SMUT
52,15,15,24,36,BROWN_SPOT
53,17,13,28,30,LEAF_SMUT
53,17,22,22,35,BROWN_SPOT
55,18,21,23,36,LEAF_SMUT
55,17,14,27,36,BROWN_SPOT
48,15,15,26,36,BACTERIAL_LEAF_BLIGHT
50,14,6,24,39,BROWN_SPOT
41,15,5,17,37,LEAF_SMUT
53,15,15,25,37,BACTERIAL_LEAF_BLIGHT
38,15,10,27,27,LEAF_SMUT
50,16,13,27,36,BACTERIAL_LEAF_BLIGHT
37,16,2,9,43,BROWN_SPOT
34,14,0,13,39,BROWN_SPOT
50,16,14,26,38,BACTERIAL_LEAF_BLIGHT
31,17,9,18,28,LEAF_SMUT
52,17,19,24,37,BACTERIAL_LEAF_BLIGHT
50,14,13,26,37,BACTERIAL_LEAF_BLIGHT
52,16,17,25,37,LEAF_SMUT
53,17,21,24,36,LEAF_SMUT
53,17,20,24,36,LEAF_SMUT
52,15,16,26,37,BACTERIAL_LEAF_BLIGHT
54,16,18,25,36,LEAF_SMUT
38,15,10,27,27,LEAF_SMUT
49,16,15,26,36,BACTERIAL_LEAF_BLIGHT
52,17,18,24,35,LEAF_SMUT
53,17,13,28,30,LEAF_SMUT
52,17,17,25,36,LEAF_SMUT
